T	uv	vt	tt
3225.8065	0.24320449	0.3445303	-2.2158723
3215.4341	0.24351709	0.34467087	-2.2317632
3205.1282	0.24382999	0.34481057	-2.2477795
3194.8882	0.24414318	0.3449494	-2.2639225
3184.7134	0.24445664	0.34508737	-2.2801935
3174.6032	0.24477039	0.34522448	-2.296594
3164.557	0.24508442	0.34536072	-2.3131251
3154.5741	0.24539873	0.34549612	-2.3297883
3144.6541	0.2457133	0.34563066	-2.346585
3134.7962	0.24602815	0.34576435	-2.3635166
3125	0.24634326	0.34589719	-2.3805846
3115.2648	0.24665863	0.34602919	-2.3977903
3105.5901	0.24697427	0.34616036	-2.4151352
3095.9752	0.24729016	0.34629068	-2.4326209
3086.4198	0.24760631	0.34642017	-2.4502489
3076.9231	0.2479227	0.34654884	-2.4680206
3067.4847	0.24823935	0.34667667	-2.4859376
3058.104	0.24855624	0.34680369	-2.5040015
3048.7805	0.24887337	0.34692988	-2.522214
3039.5137	0.24919075	0.34705526	-2.5405765
3030.303	0.24950836	0.34717982	-2.5590908
3021.148	0.2498262	0.34730357	-2.5777584
3012.0482	0.25014427	0.34742651	-2.5965812
3003.003	0.25046258	0.34754865	-2.6155608
2994.012	0.25078111	0.34766999	-2.634699
2985.0746	0.25109986	0.34779053	-2.6539974
2976.1905	0.25141883	0.34791028	-2.6734579
2967.3591	0.25173802	0.34802924	-2.6930823
2958.5799	0.25205742	0.34814741	-2.7128725
2949.8525	0.25237704	0.34826479	-2.7328302
2941.1765	0.25269686	0.34838139	-2.7529574
2932.5513	0.25301689	0.34849722	-2.773256
2923.9766	0.25333712	0.34861226	-2.793728
2915.4519	0.25365756	0.34872654	-2.8143753
2906.9767	0.25397819	0.34884005	-2.8351999
2898.5507	0.25429902	0.34895279	-2.8562038
2890.1734	0.25462004	0.34906477	-2.8773892
2881.8444	0.25494125	0.34917599	-2.8987581
2873.5632	0.25526265	0.34928646	-2.9203126
2865.3295	0.25558424	0.34939617	-2.9420549
2857.1429	0.25590601	0.34950514	-2.9639871
2849.0028	0.25622796	0.34961335	-2.9861116
2840.9091	0.25655008	0.34972083	-3.0084305
2832.8612	0.25687238	0.34982756	-3.0309462
2824.8588	0.25719486	0.34993356	-3.0536609
2816.9014	0.2575175	0.35003882	-3.076577
2808.9888	0.25784031	0.35014336	-3.099697
2801.1204	0.25816329	0.35024716	-3.1230232
2793.2961	0.25848643	0.35035025	-3.1465581
2785.5153	0.25880973	0.35045261	-3.1703043
2777.7778	0.25913319	0.35055425	-3.1942643
2770.0831	0.2594568	0.35065518	-3.2184406
2762.4309	0.25978057	0.3507554	-3.2428359
2754.8209	0.26010449	0.35085491	-3.2674529
2747.2527	0.26042855	0.35095372	-3.2922943
2739.726	0.26075277	0.35105182	-3.3173629
2732.2404	0.26107712	0.35114923	-3.3426613
2724.7956	0.26140162	0.35124593	-3.3681926
2717.3913	0.26172625	0.35134195	-3.3939595
2710.0271	0.26205103	0.35143728	-3.4199651
2702.7027	0.26237593	0.35153192	-3.4462123
2695.4178	0.26270097	0.35162588	-3.4727041
2688.172	0.26302614	0.35171915	-3.4994437
2680.9651	0.26335144	0.35181176	-3.5264341
2673.7968	0.26367686	0.35190368	-3.5536785
2666.6667	0.26400241	0.35199494	-3.5811803
2659.5745	0.26432808	0.35208553	-3.6089426
2652.5199	0.26465386	0.35217545	-3.6369689
2645.5026	0.26497976	0.35226471	-3.6652625
2638.5224	0.26530578	0.35235332	-3.6938269
2631.5789	0.26563191	0.35244126	-3.7226656
2624.6719	0.26595815	0.35252856	-3.7517823
2617.801	0.26628449	0.3526152	-3.7811805
2610.9661	0.26661095	0.3527012	-3.810864
2604.1667	0.2669375	0.35278656	-3.8408365
2597.4026	0.26726416	0.35287128	-3.8711019
2590.6736	0.26759092	0.35295535	-3.901664
2583.9793	0.26791778	0.3530388	-3.9325269
2577.3196	0.26824473	0.35312161	-3.9636945
2570.6941	0.26857177	0.3532038	-3.9951711
2564.1026	0.26889891	0.35328536	-4.0269607
2557.5448	0.26922613	0.35336629	-4.0590677
2551.0204	0.26955344	0.35344661	-4.0914964
2544.5293	0.26988084	0.35352631	-4.1242511
2538.0711	0.27020832	0.3536054	-4.1573364
2531.6456	0.27053588	0.35368388	-4.1907569
2525.2525	0.27086353	0.35376174	-4.2245171
